[2024-09-23 10:25:25] Domain: 1.0.0.127.in-addr.arpa., Upstream
[2024-09-23 10:25:27] Domain: example.com.lehigh.edu., Upstream
[2024-09-23 10:25:29] Domain: example.com.lehigh.edu., Cache
[2024-09-23 10:25:31] Domain: example.com., Upstream
[2024-09-23 10:25:33] Domain: example.com., Cache
[2024-09-23 10:25:50] Domain: 1.0.0.127.in-addr.arpa., Cache
[2024-09-23 10:25:52] Domain: apple.com.lehigh.edu., Upstream
[2024-09-23 10:25:54] Domain: apple.com.lehigh.edu., Cache
[2024-09-23 10:25:56] Domain: apple.com., Upstream
[2024-09-23 10:25:58] Domain: apple.com., Cache
[2024-09-23 10:42:51] Domain: 1.0.0.127.in-addr.arpa., Upstream
[2024-09-23 10:42:53] Domain: apple.com.lehigh.edu., Upstream
[2024-09-23 10:42:56] Domain: apple.com.lehigh.edu., Cache
[2024-09-23 10:42:58] Domain: apple.com., Upstream
[2024-09-23 10:43:00] Domain: apple.com., Cache
[2024-09-24 12:27:35] Domain: 1.0.0.127.in-addr.arpa., Upstream
[2024-09-24 12:27:38] Domain: dia.gov.lehigh.edu., Upstream
[2024-09-24 12:27:40] Domain: dia.gov.lehigh.edu., Cache
[2024-09-24 12:27:42] Domain: dia.gov., Upstream
[2024-09-24 12:27:44] Domain: dia.gov., Cache
[2024-09-24 12:27:59] Domain: 1.0.0.127.in-addr.arpa., Cache
[2024-09-24 12:28:01] Domain: fjdhjkfsahlkfs.lehigh.edu., Upstream
[2024-09-24 12:28:03] Domain: fjdhjkfsahlkfs.lehigh.edu., Cache
